job_id,source_K_index,target_K_index,generator,source_K_exponents,target_K_exponents,localized_overlap,source_frame_forms_in_base_1_u_v,target_frame_forms_in_base_1_u_v,normalized_H_scalar_mod_31,normalized_H_factor_circuit,normalized_O4H_scalar_mod_31,normalized_O4H_factor_circuit,whole_ring_J1_emitted,whole_ring_J2_emitted,whole_ring_lambda_correction_emitted,L0_A_source_equals_A_target_L1_certified
48,12,39,0,"[0, 1, 1, 0]","[1, 1, 1, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]","[[12,17,13],[1,0,1],[29,6,9],[21,22,15]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
49,12,21,1,"[0, 1, 1, 0]","[0, 2, 1, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]","[[2,9,3],[1,0,1],[8,0,0],[29,0,2]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
50,12,15,2,"[0, 1, 1, 0]","[0, 1, 2, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]","[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
51,12,13,3,"[0, 1, 1, 0]","[0, 1, 1, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]","[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
52,13,40,0,"[0, 1, 1, 1]","[1, 1, 1, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]","[[12,17,13],[12,17,13],[24,0,21],[27,3,25]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
53,13,22,1,"[0, 1, 1, 1]","[0, 2, 1, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]","[[2,9,3],[12,17,13],[23,20,26],[20,16,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
54,13,16,2,"[0, 1, 1, 1]","[0, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]","[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
55,13,14,3,"[0, 1, 1, 1]","[0, 1, 1, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[12,17,13],[24,0,21],[12,17,13]]","[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
56,14,41,0,"[0, 1, 1, 2]","[1, 1, 1, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]","[[12,17,13],[11,15,1],[22,20,6],[14,0,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
57,14,23,1,"[0, 1, 1, 2]","[0, 2, 1, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]","[[2,9,3],[11,15,1],[15,22,10],[14,25,21]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
58,14,17,2,"[0, 1, 1, 2]","[0, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]","[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
59,14,12,3,"[0, 1, 1, 2]","[0, 1, 1, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[11,15,1],[22,20,6],[11,15,1]]","[[1,20,14],[1,0,1],[29,6,9],[1,0,1]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
60,15,42,0,"[0, 1, 2, 0]","[1, 1, 2, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]","[[12,17,13],[29,0,2],[8,0,0],[21,22,15]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
61,15,24,1,"[0, 1, 2, 0]","[0, 2, 2, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]","[[2,9,3],[29,0,2],[23,7,26],[29,0,2]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
62,15,9,2,"[0, 1, 2, 0]","[0, 1, 0, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]","[[1,20,14],[1,0,0],[30,28,11],[1,0,1]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
63,15,16,3,"[0, 1, 2, 0]","[0, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]","[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
64,16,43,0,"[0, 1, 2, 1]","[1, 1, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[12,17,13],[20,16,1],[23,20,26],[27,3,25]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
65,16,25,1,"[0, 1, 2, 1]","[0, 2, 2, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[2,9,3],[20,16,1],[13,22,19],[20,16,1]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
66,16,10,2,"[0, 1, 2, 1]","[0, 1, 0, 1]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[1,20,14],[1,20,14],[21,26,14],[12,17,13]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
67,16,17,3,"[0, 1, 2, 1]","[0, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[20,16,1],[23,20,26],[12,17,13]]","[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]",4,scalar*product(target_frame_forms)/product(source_frame_forms),8,normalized_H_factor_circuit^4,False,False,False,False
68,17,44,0,"[0, 1, 2, 2]","[1, 1, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[12,17,13],[14,25,21],[15,22,10],[14,0,14]]",17,scalar*product(target_frame_forms)/product(source_frame_forms),7,normalized_H_factor_circuit^4,False,False,False,False
69,17,26,1,"[0, 1, 2, 2]","[0, 2, 2, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[2,9,3],[14,25,21],[6,0,18],[14,25,21]]",11,scalar*product(target_frame_forms)/product(source_frame_forms),9,normalized_H_factor_circuit^4,False,False,False,False
70,17,11,2,"[0, 1, 2, 2]","[0, 1, 0, 2]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[1,20,14],[2,9,3],[24,0,10],[11,15,1]]",28,scalar*product(target_frame_forms)/product(source_frame_forms),19,normalized_H_factor_circuit^4,False,False,False,False
71,17,15,3,"[0, 1, 2, 2]","[0, 1, 2, 0]",invert all source and target factor-frame forms listed,"[[1,20,14],[14,25,21],[15,22,10],[11,15,1]]","[[1,20,14],[29,0,2],[8,0,0],[1,0,1]]",2,scalar*product(target_frame_forms)/product(source_frame_forms),16,normalized_H_factor_circuit^4,False,False,False,False
