generator,generator_exponents,artifact_support_slot,source_support,target_support,support_pair_key,support_bindings_sha256
e3,"[0,0,0,1]",s20,"[14,7,29,17]","[14,8,34,2]","[[14,7,29,17],[14,8,34,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s21,"[14,15,6,2]","[14,1,33,14]","[[14,15,6,2],[14,1,33,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s22,"[14,16,28,17]","[14,15,6,2]","[[14,16,28,17],[14,15,6,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s23,"[14,17,10,2]","[14,2,9,14]","[[14,17,10,2],[14,2,9,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s24,"[15,7,28,7]","[15,8,6,8]","[[15,7,28,7],[15,8,6,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s25,"[15,14,29,7]","[15,17,34,8]","[[15,14,29,7],[15,17,34,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s26,"[16,1,33,2]","[16,16,28,14]","[[16,1,33,2],[16,16,28,14]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s27,"[16,7,29,14]","[16,8,34,17]","[[16,7,29,14],[16,8,34,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s28,"[16,15,6,17]","[16,1,33,2]","[[16,15,6,17],[16,1,33,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s29,"[16,16,28,14]","[16,15,6,17]","[[16,16,28,14],[16,15,6,17]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s30,"[16,17,10,17]","[16,2,9,2]","[[16,17,10,17],[16,2,9,2]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
e3,"[0,0,0,1]",s31,"[17,2,5,7]","[17,14,29,8]","[[17,2,5,7],[17,14,29,8]]",8811065f860d540884283b3fecf5de8bf39cf696480bf15708aada275b512658
