cycle_id,generator_index,generator,generator_exponents,base_K_index,base_K_exponents,vertex_K_indices,edge_job_ids,generator_templates_available,common_basis_composition_emitted,strict_equality_computed,chain_homotopy_emitted,coherence_closed,status
85,3,e3,"[0,0,0,1]",12,"[0,1,1,0]","[12,13,14,12]","[51,55,59]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
86,3,e3,"[0,0,0,1]",15,"[0,1,2,0]","[15,16,17,15]","[63,67,71]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
87,3,e3,"[0,0,0,1]",18,"[0,2,0,0]","[18,19,20,18]","[75,79,83]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
88,3,e3,"[0,0,0,1]",21,"[0,2,1,0]","[21,22,23,21]","[87,91,95]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
89,3,e3,"[0,0,0,1]",24,"[0,2,2,0]","[24,25,26,24]","[99,103,107]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
90,3,e3,"[0,0,0,1]",27,"[1,0,0,0]","[27,28,29,27]","[111,115,119]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
91,3,e3,"[0,0,0,1]",30,"[1,0,1,0]","[30,31,32,30]","[123,127,131]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
92,3,e3,"[0,0,0,1]",33,"[1,0,2,0]","[33,34,35,33]","[135,139,143]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
93,3,e3,"[0,0,0,1]",36,"[1,1,0,0]","[36,37,38,36]","[147,151,155]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
94,3,e3,"[0,0,0,1]",39,"[1,1,1,0]","[39,40,41,39]","[159,163,167]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
95,3,e3,"[0,0,0,1]",42,"[1,1,2,0]","[42,43,44,42]","[171,175,179]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
96,3,e3,"[0,0,0,1]",45,"[1,2,0,0]","[45,46,47,45]","[183,187,191]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
97,3,e3,"[0,0,0,1]",48,"[1,2,1,0]","[48,49,50,48]","[195,199,203]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
98,3,e3,"[0,0,0,1]",51,"[1,2,2,0]","[51,52,53,51]","[207,211,215]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
99,3,e3,"[0,0,0,1]",54,"[2,0,0,0]","[54,55,56,54]","[219,223,227]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
100,3,e3,"[0,0,0,1]",57,"[2,0,1,0]","[57,58,59,57]","[231,235,239]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
101,3,e3,"[0,0,0,1]",60,"[2,0,2,0]","[60,61,62,60]","[243,247,251]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
102,3,e3,"[0,0,0,1]",63,"[2,1,0,0]","[63,64,65,63]","[255,259,263]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
103,3,e3,"[0,0,0,1]",66,"[2,1,1,0]","[66,67,68,66]","[267,271,275]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
104,3,e3,"[0,0,0,1]",69,"[2,1,2,0]","[69,70,71,69]","[279,283,287]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
105,3,e3,"[0,0,0,1]",72,"[2,2,0,0]","[72,73,74,72]","[291,295,299]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
106,3,e3,"[0,0,0,1]",75,"[2,2,1,0]","[75,76,77,75]","[303,307,311]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
107,3,e3,"[0,0,0,1]",78,"[2,2,2,0]","[78,79,80,78]","[315,319,323]",True,False,False,False,False,OPEN_COMMON_BASIS_COMPOSITION_NOT_EMITTED
